Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;111;88;134;41,9;31;13;1;111;0;1;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;81;64;98;41,9;31;13;1;81;0;2;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;81;64;98;41,9;31;13;1;81;0;Totalt i retning Nova;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;111;88;134;41,9;31;13;1;111;0;Totalt i retning Pyramiden;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;192;153;231;41,9;31;13;1;192;0;Totalt;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;121;103;139;100;30;30;0;121;0;1;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;83;70;96;100;30;30;0;83;0;2;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;83;70;96;100;30;30;0;83;0;Totalt i retning Nova;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;121;103;139;100;30;30;0;121;0;Totalt i retning Pyramiden;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;204;174;234;100;30;30;0;204;0;Totalt;-;-;-;-;-;-;-;-
