Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;1766;768;2764;19,4;31;6;1;22;98,8;1;1398;346;65;29;196;56;54;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;1764;753;2775;19,4;31;6;1;63;96,4;2;1380;320;21;46;217;36;35;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;1765;754;2776;19,4;31;6;1;64;96,4;Totalt i retning UNN;1380;320;21;46;217;36;35;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;1766;769;2763;19,4;31;6;1;22;98,8;Totalt i retning Planetariet;1398;346;65;29;196;56;54;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;3530;1522;5538;19,4;31;6;1;85;97,6;Totalt;2778;667;86;76;413;92;89;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;1844;1546;2142;96,7;30;29;1;19;99;1;1467;358;69;29;200;61;59;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;1853;1549;2157;96,7;30;29;1;59;96,8;2;1466;328;19;47;226;36;34;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;1854;1550;2158;96,7;30;29;1;60;96,8;Totalt i retning UNN;1467;328;19;47;226;36;34;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;1844;1547;2141;96,7;30;29;1;20;98,9;Totalt i retning Planetariet;1466;358;69;29;200;61;59;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;3698;3097;4299;96,7;30;29;1;79;97,9;Totalt;2933;686;88;76;426;96;93;3
